Gender,Branch,Average GPA,Backlogs,Attendance (%),Skills,Certifications,Internship Domain,Job Role,Company Tier,English Proficiency Score,Hackathons Participated,Interview Performance (1-10),Soft Skills Rating (1-10),Offer Type,CTC (LPA)
Male,IT,7.38,0,79.03,"DL, Python",DataCamp DS,AI/ML,SDE,Tier 1,8.5,5,8.8,9.9,PPO,42.94
Female,CSE,7.6,0,85.6,"HTML, ML, Python",Coursera ML,Cybersecurity,DevOps Engineer,Tier 2,5.1,2,7.7,8.9,On-campus,36.41
Male,CSE,8.34,1,93.26,"C++, DL, Java, AWS",Coursera ML,AI/ML,DevOps Engineer,Tier 1,8.9,0,4.7,8.5,Off-campus,35.52
Male,CSE,6.93,0,100.0,"DSA, Java",Google Cloud,IoT,Data Scientist,Tier 3,8.4,3,5.7,5.2,On-campus,23.88
Male,CIVIL,7.76,1,89.6,"Python, HTML, C++, DL",AWS Certified,Web Dev,Business Analyst,Tier 2,6.4,5,9.8,9.3,PPO,37.37
Female,MECH,7.22,1,76.11,"ML, C++, AWS, HTML",None,Cybersecurity,SDE,Tier 3,7.8,1,5.9,7.2,On-campus,27.23
Male,CIVIL,7.52,2,98.8,"AWS, Java",Google Cloud,Web Dev,QA Engineer,Tier 3,5.5,0,4.6,9.3,On-campus,27.09
Male,MECH,8.39,1,84.86,"HTML, DSA, ML",AWS Certified,AI/ML,Data Scientist,Tier 1,6.7,1,8.2,6.0,On-campus,40.8
Male,CIVIL,7.63,1,79.14,"AWS, HTML",AWS Certified,Web Dev,SDE,Tier 3,8.6,4,8.4,4.4,Off-campus,30.35
Female,CIVIL,7.53,0,77.44,"SQL, Python, HTML",Google Cloud,AI/ML,SDE,Tier 1,7.5,3,5.7,6.9,PPO,33.09
Male,IT,6.55,0,90.85,"HTML, AWS",Google Cloud,AI/ML,DevOps Engineer,Tier 2,7.4,3,5.8,5.6,Off-campus,29.05
Male,EEE,8.02,1,86.67,"Java, C++, Python, DL",DataCamp DS,Web Dev,Business Analyst,Tier 2,7.5,4,6.8,8.3,On-campus,38.11
Male,CIVIL,7.95,1,87.42,"SQL, DL, Python",None,AI/ML,QA Engineer,Tier 3,7.4,1,4.1,9.7,Off-campus,27.42
Male,IT,9.01,2,94.01,"SQL, AWS, HTML",Coursera ML,IoT,Business Analyst,Tier 1,8.5,0,8.7,8.1,PPO,38.55
Female,ECE,7.28,0,79.38,"DL, DSA, Java",DataCamp DS,Data Analytics,DevOps Engineer,Tier 3,6.9,1,5.9,9.3,PPO,26.95
Male,EEE,7.65,0,94.56,"HTML, CSS, SQL, C++",AWS Certified,Web Dev,QA Engineer,Tier 3,7.9,0,9.1,6.7,On-campus,31.05
Female,CIVIL,7.67,0,81.37,"DL, Java, AWS",None,Data Analytics,QA Engineer,Tier 3,6.4,5,8.8,8.6,On-campus,30.59
Female,CSE,8.6,0,100.0,"CSS, Python, AWS, DSA",None,Web Dev,Data Scientist,Tier 3,8.2,4,8.0,9.1,Off-campus,27.53
Female,ECE,7.43,0,89.19,"C++, Python",Google Cloud,AI/ML,QA Engineer,Tier 1,7.2,2,5.9,8.3,PPO,37.05
Male,ECE,7.7,0,78.56,"CSS, AWS",None,AI/ML,SDE,Tier 3,7.5,0,7.1,7.0,PPO,25.82
Female,IT,7.93,2,70.82,"Java, DSA, HTML",None,Cybersecurity,Business Analyst,Tier 2,7.1,3,6.7,7.8,Off-campus,31.65
Male,ECE,7.63,1,90.66,"Python, HTML, SQL, DL",AWS Certified,IoT,Business Analyst,Tier 1,7.3,5,6.0,8.2,PPO,37.27
Female,EEE,7.19,0,82.38,"DSA, Java, AWS",DataCamp DS,Cybersecurity,Data Scientist,Tier 3,6.5,3,9.1,5.5,On-campus,29.33
Female,CIVIL,7.64,1,83.91,"C++, CSS, HTML, Python",None,Data Analytics,QA Engineer,Tier 1,7.8,5,6.9,8.9,On-campus,40.0
Female,CIVIL,8.25,0,90.36,"C++, HTML",Google Cloud,AI/ML,DevOps Engineer,Tier 3,8.1,3,9.0,9.7,Off-campus,31.79
Female,CSE,6.78,3,92.07,"C++, Python, Java, CSS",DataCamp DS,Cybersecurity,SDE,Tier 2,6.2,1,4.6,6.8,Off-campus,27.39
Female,IT,7.59,1,93.57,"CSS, Java, DL",Google Cloud,AI/ML,Data Scientist,Tier 2,6.9,1,4.8,8.2,Off-campus,26.28
Female,CSE,7.01,0,76.78,"AWS, DL",None,Web Dev,QA Engineer,Tier 2,7.5,1,9.9,8.4,On-campus,38.16
Female,ECE,8.34,0,94.98,"ML, AWS, CSS",DataCamp DS,Cybersecurity,DevOps Engineer,Tier 1,6.9,5,7.5,8.0,Off-campus,34.57
Female,CSE,6.43,1,80.95,"DL, C++, ML, HTML",None,Data Analytics,QA Engineer,Tier 2,7.3,5,7.1,7.3,PPO,32.82
Male,EEE,7.11,0,69.21,"Python, SQL, C++",AWS Certified,Cybersecurity,Data Scientist,Tier 3,9.1,3,7.1,9.3,Off-campus,32.09
Male,CIVIL,7.76,3,76.75,"Java, AWS, C++",DataCamp DS,AI/ML,DevOps Engineer,Tier 3,6.5,0,5.3,6.7,PPO,22.0
Female,ECE,8.6,1,86.53,"Python, ML",Google Cloud,Cloud,DevOps Engineer,Tier 3,5.2,5,8.3,4.4,On-campus,29.84
Female,CSE,7.45,1,78.15,"DL, HTML",AWS Certified,Cloud,DevOps Engineer,Tier 1,6.9,3,4.5,9.1,PPO,37.82
Female,IT,7.11,1,84.38,"ML, CSS, SQL, DSA",Coursera ML,IoT,DevOps Engineer,Tier 1,7.2,0,7.4,8.0,PPO,31.52
Male,EEE,8.82,2,87.37,"SQL, DL, C++, ML",Google Cloud,AI/ML,QA Engineer,Tier 2,7.0,1,7.4,9.1,PPO,34.68
