Student ID,Sem1 GPA,Sem2 GPA,Sem3 GPA,Sem4 GPA,Sem5 GPA,Sem6 GPA,Sem7 GPA,Sem8 GPA
STUD0000,6.27,6.7,6.91,7.23,7.21,7.43,7.64,7.8
STUD0001,6.55,6.94,7.09,7.5,7.53,7.67,8.32,8.28
STUD0002,6.38,6.27,6.45,6.56,6.77,7.21,7.33,7.4
STUD0003,6.6,6.66,7.15,7.06,7.49,7.38,7.69,8.13
STUD0004,7.96,8.27,8.2,8.33,8.9,8.91,9.01,9.29
STUD0005,6.91,7.01,7.18,7.59,7.87,8.07,8.02,8.31
STUD0006,7.43,8.04,8.06,8.24,8.69,8.59,9.07,9.2
STUD0007,6.73,6.8,7.16,7.55,7.53,7.99,7.57,8.3
STUD0008,5.35,5.93,6.13,6.21,6.34,6.41,6.73,7.18
STUD0009,5.57,5.83,6.26,6.38,6.47,6.84,6.99,7.34
STUD0010,7.47,7.83,7.91,8.11,8.57,8.55,8.41,9.07
STUD0011,6.0,6.15,6.46,6.76,7.2,7.15,7.38,7.54
STUD0012,7.9,7.87,8.17,8.4,8.78,8.91,9.09,9.41
STUD0013,6.17,6.46,6.62,6.66,7.23,7.38,7.6,7.56
STUD0014,6.63,6.84,6.72,7.07,7.2,7.63,7.96,8.05
STUD0015,5.31,5.77,5.81,6.26,6.26,6.85,6.71,6.99
STUD0016,7.76,8.11,8.4,8.53,8.87,9.26,9.05,9.28
STUD0017,7.78,8.07,7.99,8.19,8.68,8.86,9.07,9.3
STUD0018,7.14,7.45,7.56,7.57,8.12,8.38,8.5,8.46
STUD0019,6.27,6.18,6.67,6.8,7.07,7.45,7.34,7.48
STUD0020,6.29,6.34,6.77,6.89,7.43,7.25,7.24,7.66
STUD0021,7.15,7.59,7.7,8.06,8.23,8.37,8.46,8.58
STUD0022,7.49,7.77,8.16,8.28,8.58,8.96,8.95,9.01
STUD0023,7.98,8.02,8.46,8.7,8.99,9.2,9.05,9.33
STUD0024,7.57,7.78,7.96,8.3,8.6,8.6,9.01,9.17
STUD0025,7.44,7.82,7.8,8.1,8.27,8.57,9.12,8.71
STUD0026,6.15,6.44,6.51,6.81,7.31,7.31,7.58,7.53
STUD0027,5.72,5.83,6.46,6.45,6.27,6.81,6.9,7.34
STUD0028,6.48,7.06,6.98,7.19,7.5,7.43,8.02,8.29
STUD0029,6.52,6.57,6.4,6.77,7.25,7.17,7.55,7.82
STUD0030,6.68,6.76,6.92,7.31,7.24,7.56,8.2,8.38
STUD0031,5.83,5.61,6.22,6.26,6.32,6.75,6.93,7.02
STUD0032,5.66,5.8,5.71,6.4,6.33,6.95,6.96,7.08
STUD0033,6.51,6.59,6.86,7.03,7.23,7.66,7.8,7.86
STUD0034,7.13,7.37,7.41,7.85,8.01,8.04,8.09,8.39
STUD0035,7.52,7.62,7.84,8.25,8.42,8.63,8.92,8.94
STUD0036,6.26,6.64,6.69,6.85,7.44,7.53,7.32,7.73
STUD0037,6.5,6.65,6.84,7.06,7.18,7.26,7.62,7.72
STUD0038,6.56,6.94,7.12,7.45,7.4,7.71,7.97,8.23
STUD0039,5.49,5.71,6.02,6.31,6.61,7.0,7.12,7.18
STUD0040,5.73,5.99,6.1,6.41,6.83,6.97,7.14,7.29
STUD0041,6.54,6.59,6.9,7.08,7.31,7.39,7.73,8.01
STUD0042,7.01,7.57,7.68,7.99,7.91,8.29,8.14,8.69
STUD0043,5.65,6.11,6.29,6.64,6.88,7.32,7.4,7.38
STUD0044,7.32,7.65,7.75,7.83,8.06,8.24,8.54,8.55
STUD0045,6.44,6.85,6.64,7.01,7.31,7.53,7.67,8.05
STUD0046,6.42,6.92,7.21,7.5,7.36,7.65,7.95,8.43
STUD0047,7.61,7.66,8.17,8.34,8.25,8.65,8.81,9.14
STUD0048,7.2,7.42,7.43,8.12,8.25,8.31,8.58,8.43
STUD0049,7.7,7.47,7.63,8.09,8.37,8.53,8.43,8.95
STUD0050,7.07,7.29,7.35,7.8,8.05,8.11,8.68,8.54
STUD0051,5.85,6.03,6.34,6.42,6.7,6.82,7.51,7.44
STUD0052,5.68,5.99,6.15,6.15,6.34,6.76,6.8,6.91
STUD0053,6.48,7.13,7.39,7.32,7.65,7.83,8.46,8.38
STUD0054,6.0,5.61,6.07,6.28,6.6,6.83,6.89,7.17
STUD0055,6.57,6.67,6.75,7.18,7.19,7.26,7.83,7.9
STUD0056,6.52,6.69,7.22,7.03,7.15,7.79,7.87,8.1
STUD0057,6.0,6.23,6.43,6.61,6.96,7.04,7.42,7.59
STUD0058,5.84,5.98,6.24,6.46,6.53,6.77,7.15,7.31
STUD0059,6.64,7.19,7.22,7.62,7.63,7.69,7.93,8.4
STUD0060,5.56,6.12,6.04,6.47,7.06,6.62,7.05,7.23
STUD0061,5.99,5.96,6.39,6.31,6.77,7.12,6.75,7.22
STUD0062,6.4,6.6,6.87,7.25,7.21,7.46,7.57,7.96
STUD0063,5.97,6.06,6.38,6.86,6.9,6.93,7.38,7.35
STUD0064,6.5,6.48,7.18,7.11,7.22,7.67,7.85,8.22
STUD0065,6.89,7.19,7.07,7.67,7.77,7.87,8.24,8.7
STUD0066,7.66,8.01,8.0,8.26,8.82,8.87,8.97,9.36
STUD0067,7.51,7.62,7.92,8.25,8.52,8.49,8.97,9.26
STUD0068,6.99,7.49,7.5,7.8,8.12,8.43,8.39,8.39
STUD0069,7.91,7.91,8.66,8.53,8.74,9.05,9.23,9.4
STUD0070,7.31,7.31,7.5,8.19,8.15,8.35,8.54,8.89
STUD0071,5.79,6.16,5.96,6.66,6.62,6.79,6.92,7.03
STUD0072,6.81,7.15,7.46,7.36,7.48,7.88,7.96,8.32
STUD0073,5.54,6.15,6.33,6.69,7.08,7.18,7.19,7.27
STUD0074,5.71,5.95,6.04,6.38,6.45,6.89,6.98,7.24
STUD0075,5.97,6.11,6.3,6.64,6.8,7.27,6.86,7.64
STUD0076,6.33,6.75,6.97,7.11,7.34,7.65,7.91,7.8
STUD0077,6.66,6.93,7.06,7.0,7.3,7.67,7.62,8.13
STUD0078,5.87,5.82,6.21,6.43,6.85,6.67,6.94,7.11
STUD0079,7.79,7.77,8.31,8.36,8.52,8.97,8.92,9.03
STUD0080,7.09,6.98,7.59,7.29,7.57,7.97,8.41,8.47
STUD0081,7.45,7.71,7.97,7.89,8.15,8.68,8.81,8.97
STUD0082,7.77,8.19,8.15,8.69,9.12,9.14,9.18,9.54
STUD0083,5.57,5.89,6.21,6.32,6.11,6.41,6.72,7.03
STUD0084,5.86,6.16,6.13,6.65,6.54,6.87,7.4,7.28
STUD0085,6.1,6.85,6.75,6.91,6.97,7.42,7.44,7.76
STUD0086,6.49,7.1,7.12,7.42,7.63,7.76,8.32,8.23
STUD0087,6.69,6.72,7.11,7.38,7.54,7.42,7.76,8.05
STUD0088,7.6,7.97,8.38,8.45,8.77,8.96,9.27,9.45
STUD0089,7.61,7.59,8.12,8.3,8.52,8.5,8.75,9.28
STUD0090,7.98,8.01,8.17,8.59,8.46,8.96,8.94,9.5
STUD0091,7.28,7.46,7.96,7.98,8.32,8.16,8.64,8.95
STUD0092,6.19,6.3,6.69,6.62,6.86,6.78,7.51,7.63
STUD0093,7.89,8.39,8.63,8.52,8.75,8.99,9.04,9.32
STUD0094,5.95,6.27,6.51,6.99,7.07,7.19,7.87,7.64
STUD0095,5.94,6.21,6.39,6.93,6.68,6.91,7.11,7.33
STUD0096,7.37,7.64,7.82,7.92,8.43,8.68,8.79,8.89
STUD0097,6.09,6.05,6.72,6.97,6.83,7.07,7.39,7.61
STUD0098,7.01,7.37,7.3,7.59,8.13,8.07,8.3,8.64
STUD0099,5.97,6.3,6.48,6.87,7.29,7.04,7.26,7.71
STUD0100,6.95,7.48,7.66,7.88,8.19,8.33,8.54,8.8
